nsub,bloque,altura,condicion,itrial,distancia,respuesta
45.0,2.0,1.0,2.0,12.0,26.0,8.0
45.0,2.0,1.0,2.0,6.0,5.6,7.0
45.0,2.0,1.0,2.0,1.0,1.5,0.4
45.0,2.0,1.0,2.0,7.0,7.2,6.0
45.0,2.0,1.0,2.0,4.0,3.3,1.0
45.0,2.0,1.0,2.0,2.0,2.0,0.5
45.0,2.0,1.0,2.0,10.0,15.5,8.0
45.0,2.0,1.0,2.0,5.0,4.3,6.0
45.0,2.0,1.0,2.0,9.0,12.0,10.0
45.0,2.0,1.0,2.0,6.0,5.6,8.0
45.0,2.0,1.0,2.0,7.0,7.2,7.0
45.0,2.0,1.0,2.0,1.0,1.5,1.0
45.0,2.0,1.0,2.0,3.0,2.5,0.8
45.0,2.0,1.0,2.0,7.0,7.2,8.0
45.0,2.0,1.0,2.0,8.0,9.4,10.0
45.0,2.0,1.0,2.0,3.0,2.5,1.0
45.0,2.0,1.0,2.0,12.0,26.0,11.0
45.0,2.0,1.0,2.0,12.0,26.0,12.0
45.0,2.0,1.0,2.0,11.0,20.0,12.0
45.0,2.0,1.0,2.0,10.0,15.5,12.0
45.0,2.0,1.0,2.0,6.0,5.6,9.0
45.0,2.0,1.0,2.0,4.0,3.3,4.0
45.0,2.0,1.0,2.0,10.0,15.5,6.0
45.0,2.0,1.0,2.0,3.0,2.5,1.0
45.0,2.0,1.0,2.0,2.0,2.0,0.3
45.0,2.0,1.0,2.0,11.0,20.0,9.0
45.0,2.0,1.0,2.0,8.0,9.4,4.0
45.0,2.0,1.0,2.0,4.0,3.3,2.0
45.0,2.0,1.0,2.0,5.0,4.3,4.0
45.0,2.0,1.0,2.0,11.0,20.0,8.0
45.0,2.0,1.0,2.0,9.0,12.0,9.0
45.0,2.0,1.0,2.0,1.0,1.5,0.3
45.0,2.0,1.0,2.0,5.0,4.3,2.0
45.0,2.0,1.0,2.0,12.0,26.0,11.0
45.0,2.0,1.0,2.0,2.0,2.0,1.0
45.0,2.0,1.0,2.0,8.0,9.4,4.0
