nsub,bloque,altura,condicion,itrial,distancia,respuesta
53.0,1.0,1.0,1.0,7.0,7.2,6.0
53.0,1.0,1.0,1.0,1.0,1.5,1.0
53.0,1.0,1.0,1.0,6.0,5.6,6.0
53.0,1.0,1.0,1.0,10.0,15.5,8.0
53.0,1.0,1.0,1.0,3.0,2.5,3.0
53.0,1.0,1.0,1.0,1.0,1.5,2.0
53.0,1.0,1.0,1.0,2.0,2.0,4.0
53.0,1.0,1.0,1.0,8.0,9.4,8.0
53.0,1.0,1.0,1.0,12.0,26.0,12.0
53.0,1.0,1.0,1.0,10.0,15.5,15.0
53.0,1.0,1.0,1.0,12.0,26.0,25.0
53.0,1.0,1.0,1.0,7.0,7.2,24.0
53.0,1.0,1.0,1.0,6.0,5.6,15.0
53.0,1.0,1.0,1.0,3.0,2.5,8.0
53.0,1.0,1.0,1.0,1.0,1.5,4.0
53.0,1.0,1.0,1.0,5.0,4.3,7.0
53.0,1.0,1.0,1.0,9.0,12.0,12.0
53.0,1.0,1.0,1.0,9.0,12.0,15.0
53.0,1.0,1.0,1.0,11.0,20.0,18.0
53.0,1.0,1.0,1.0,9.0,12.0,20.0
53.0,1.0,1.0,1.0,7.0,7.2,18.0
53.0,1.0,1.0,1.0,5.0,4.3,16.0
53.0,1.0,1.0,1.0,8.0,9.4,16.0
53.0,1.0,1.0,1.0,6.0,5.6,16.0
53.0,1.0,1.0,1.0,11.0,20.0,19.0
53.0,1.0,1.0,1.0,4.0,3.3,10.0
53.0,1.0,1.0,1.0,8.0,9.4,14.0
53.0,1.0,1.0,1.0,2.0,2.0,7.0
53.0,1.0,1.0,1.0,10.0,15.5,18.0
53.0,1.0,1.0,1.0,4.0,3.3,10.0
53.0,1.0,1.0,1.0,7.0,7.2,12.0
53.0,1.0,1.0,1.0,2.0,2.0,9.0
53.0,1.0,1.0,1.0,4.0,3.3,12.0
53.0,1.0,1.0,1.0,11.0,20.0,17.0
53.0,1.0,1.0,1.0,12.0,26.0,20.0
53.0,1.0,1.0,1.0,3.0,2.5,10.0
