,Wide,Low,High
1.5,6769.089328856532,2379.995108126809,7151.5760612179165
2.0,6798.655182120299,2334.102840334,7196.939901763307
2.5,6833.463295044213,2324.581866395421,7236.667628224716
3.3,6793.539073973561,2247.0867828397686,7218.72317935116
4.3,6780.589040605419,2297.69175698501,7185.0768555166005
5.6,6816.332603339656,2299.0714073308873,7220.102495218063
7.2,6715.129637882316,2201.8321728846163,7146.436370727893
9.4,6519.610882716506,2240.0661865719453,6929.706163064721
12.0,6714.351577126809,2227.3906458443726,7131.609929620312
15.5,6459.678434385935,2282.234645429236,6855.238161552799
20.0,6132.932051018923,2251.573412456154,6520.597266245743
26.0,6150.14879867953,2023.792553072341,6602.7822522869
