,Wide,Low,High
1.5,5193.267207572255,1309.23170009203,6003.887334404747
2.0,5051.796474108937,1279.6260149329062,5886.260665085693
2.5,4978.877441901807,1279.4729073995547,5805.911238578587
3.3,5025.388352805863,1281.9852438930152,5848.452182213427
4.3,4874.103501576941,1243.9845622705193,5730.0346780774325
5.6,5105.701217974316,1279.927866819686,5944.571783321364
7.2,4972.415604472644,1216.4195409353733,5873.18595816896
9.4,4810.962832975234,1216.93261505937,5688.132886872607
12.0,4890.317013427477,1251.5898860535278,5742.581996686264
15.5,4833.882473918348,1203.632072306898,5731.063785387429
20.0,4706.305654016441,1134.027339315564,5669.45276706121
26.0,4345.823491948374,1150.8266607630965,5237.792199153365
