,Wide,Low,High
1.5,-0.2808361517584572,-0.49293244177527384,-0.19969809748338463
2.0,-3.0616149186716655,-3.2362057343368065,-2.9343361150645464
2.5,-4.820515762709697,-5.0916042407854505,-4.589564483930602
3.3,-6.826904509890305,-7.072602813553914,-6.5862069039013775
4.3,-8.533406848773893,-8.934234952717574,-8.246088038447738
5.6,-9.92217491819931,-10.24931489305024,-9.59649345723733
7.2,-12.183171599360584,-12.320811431984652,-11.877937293638766
9.4,-13.295994471120054,-13.303173194635335,-13.244528720834538
12.0,-15.071231028440323,-15.444178608149585,-14.762349210823231
15.5,-16.640066204288246,-16.154081259315262,-16.87337264816125
20.0,-19.855729653695334,-19.323855115620844,-20.44712584667886
26.0,-22.937994774589356,-22.764060198105852,-23.197436906844885
