,Wide,Low,High
1.5,-12.193592803028189,-9.707791461348862,-13.92012608281999
2.0,-12.828772324558287,-10.187568117995966,-14.741598463490973
2.5,-13.114928710525902,-10.469077042601242,-15.059771257194939
3.3,-13.261189620044078,-10.634149153614644,-15.136701879062457
4.3,-13.696399454011328,-10.779130048340932,-16.01872670234451
5.6,-13.782446123565691,-11.084149360710214,-15.823583585347308
7.2,-14.319054901715958,-11.266089425724232,-16.61835895424045
9.4,-14.447527037255952,-11.418438958399378,-16.886659040329846
12.0,-14.473989692047937,-11.52498812202461,-16.849188905275824
15.5,-15.190885753279957,-12.006393697791353,-17.802755461171785
20.0,-15.311011116511224,-11.871383907091499,-18.220745305202072
26.0,-15.614836550877811,-12.260652087637567,-18.61917989169079
