Distancia,wide,low,high
1.5,6704.812632600006,2218.330113141842,7130.653006258122
2.0,6679.9603474021305,2085.3444314805565,7149.633969790073
2.5,6662.3201224206005,2003.0938387163446,7161.726796824233
3.3,6557.004089479272,1877.5680864275741,7104.8959729466105
4.3,6433.5705643930405,1789.6682822876562,7014.962355544854
5.6,6423.230712610794,1751.865642140229,7022.454847799173
7.2,6182.577207963693,1581.5154745329955,6870.725936493481
9.4,5902.116834449713,1549.2654508690819,6593.038061416756
12.0,5920.186504777606,1498.8265327164709,6646.8487172050145
15.5,5670.1879980462445,1427.981322316542,6441.822814817419
20.0,5176.333034070336,1262.8674575989296,6046.856228890245
26.0,4777.065145986059,1220.2937171713643,5646.29476927168
