Distancia,wide,low,high
1.5,0.0,0.0,0.0
2.0,-2.613329426544013,-1.4768730817087175,-2.669107334931148
2.5,-4.1941654711747915,-2.363690215515362,-4.2853739028469064
3.3,-5.886876412208096,-2.949395436402142,-6.057827353227111
4.3,-7.3479569878308695,-3.6417915344189424,-7.578589236935144
5.6,-8.37546463742887,-4.280653508543935,-8.649244806714307
7.2,-10.080989097563751,-4.338037353099921,-10.590519828726897
9.4,-10.796370967119799,-4.758013953383667,-11.370946055869396
12.0,-11.746968062426163,-5.143179491323522,-12.416879235076124
15.5,-12.840606581621259,-5.470969472238622,-13.746943858003775
20.0,-13.999949397847118,-5.15365009701496,-15.352215897004541
26.0,-14.873128712201549,-5.890383580112882,-16.339230098057115
