nsub,bloque,altura,condicion,itrial,distancia,respuesta
11.0,0.0,1.0,0.0,6.0,5.6,0.8
11.0,0.0,1.0,0.0,5.0,4.3,0.8
11.0,0.0,1.0,0.0,6.0,5.6,0.8
11.0,0.0,1.0,0.0,4.0,3.3,0.5
11.0,0.0,1.0,0.0,1.0,1.5,0.5
11.0,0.0,1.0,0.0,10.0,15.5,4.0
11.0,0.0,1.0,0.0,4.0,3.3,1.0
11.0,0.0,1.0,0.0,11.0,20.0,4.0
11.0,0.0,1.0,0.0,7.0,7.2,2.0
11.0,0.0,1.0,0.0,1.0,1.5,0.5
11.0,0.0,1.0,0.0,2.0,2.0,0.4
11.0,0.0,1.0,0.0,9.0,12.0,5.0
11.0,0.0,1.0,0.0,6.0,5.6,1.0
11.0,0.0,1.0,0.0,11.0,20.0,5.0
11.0,0.0,1.0,0.0,2.0,2.0,1.0
11.0,0.0,1.0,0.0,9.0,12.0,5.0
11.0,0.0,1.0,0.0,8.0,9.4,2.0
11.0,0.0,1.0,0.0,12.0,26.0,7.0
11.0,0.0,1.0,0.0,12.0,26.0,10.0
11.0,0.0,1.0,0.0,3.0,2.5,0.5
11.0,0.0,1.0,0.0,3.0,2.5,0.5
11.0,0.0,1.0,0.0,7.0,7.2,2.0
11.0,0.0,1.0,0.0,10.0,15.5,4.0
11.0,0.0,1.0,0.0,8.0,9.4,1.0
