nsub,bloque,altura,condicion,itrial,distancia,respuesta
13.0,4.0,1.0,4.0,12.0,26.0,3.5
13.0,4.0,1.0,4.0,2.0,2.0,1.0
13.0,4.0,1.0,4.0,6.0,5.6,1.5
13.0,4.0,1.0,4.0,3.0,2.5,1.5
13.0,4.0,1.0,4.0,2.0,2.0,1.0
13.0,4.0,1.0,4.0,10.0,15.5,3.0
13.0,4.0,1.0,4.0,8.0,9.4,4.0
13.0,4.0,1.0,4.0,5.0,4.3,4.0
13.0,4.0,1.0,4.0,10.0,15.5,6.0
13.0,4.0,1.0,4.0,1.0,1.5,0.5
13.0,4.0,1.0,4.0,11.0,20.0,3.0
13.0,4.0,1.0,4.0,7.0,7.2,2.0
13.0,4.0,1.0,4.0,6.0,5.6,2.0
13.0,4.0,1.0,4.0,12.0,26.0,6.0
13.0,4.0,1.0,4.0,9.0,12.0,6.0
13.0,4.0,1.0,4.0,4.0,3.3,6.0
13.0,4.0,1.0,4.0,1.0,1.5,0.5
13.0,4.0,1.0,4.0,4.0,3.3,1.0
13.0,4.0,1.0,4.0,3.0,2.5,1.0
13.0,4.0,1.0,4.0,11.0,20.0,4.0
13.0,4.0,1.0,4.0,5.0,4.3,5.0
13.0,4.0,1.0,4.0,12.0,26.0,8.0
13.0,4.0,1.0,4.0,9.0,12.0,7.0
13.0,4.0,1.0,4.0,8.0,9.4,8.0
