nsub,bloque,altura,condicion,itrial,distancia,respuesta
26.0,2.0,1.0,2.0,11.0,20.0,30.0
26.0,2.0,1.0,2.0,7.0,7.2,25.0
26.0,2.0,1.0,2.0,6.0,5.6,20.0
26.0,2.0,1.0,2.0,2.0,2.0,2.0
26.0,2.0,1.0,2.0,11.0,20.0,30.0
26.0,2.0,1.0,2.0,12.0,26.0,35.0
26.0,2.0,1.0,2.0,2.0,2.0,2.0
26.0,2.0,1.0,2.0,3.0,2.5,4.0
26.0,2.0,1.0,2.0,1.0,1.5,1.0
26.0,2.0,1.0,2.0,12.0,26.0,25.0
26.0,2.0,1.0,2.0,5.0,4.3,10.0
26.0,2.0,1.0,2.0,3.0,2.5,5.0
26.0,2.0,1.0,2.0,11.0,20.0,31.0
26.0,2.0,1.0,2.0,1.0,1.5,5.0
26.0,2.0,1.0,2.0,6.0,5.6,15.0
26.0,2.0,1.0,2.0,4.0,3.3,10.0
26.0,2.0,1.0,2.0,5.0,4.3,20.0
26.0,2.0,1.0,2.0,10.0,15.5,30.0
26.0,2.0,1.0,2.0,4.0,3.3,5.0
26.0,2.0,1.0,2.0,9.0,12.0,25.0
26.0,2.0,1.0,2.0,9.0,12.0,30.0
26.0,2.0,1.0,2.0,8.0,9.4,3.0
26.0,2.0,1.0,2.0,7.0,7.2,30.0
26.0,2.0,1.0,2.0,10.0,15.5,40.0
