nsub,bloque,altura,condicion,itrial,distancia,respuesta
42.0,2.0,1.0,2.0,5.0,4.3,20.0
42.0,2.0,1.0,2.0,2.0,2.0,10.0
42.0,2.0,1.0,2.0,10.0,15.5,40.0
42.0,2.0,1.0,2.0,11.0,20.0,90.0
42.0,2.0,1.0,2.0,8.0,9.4,50.0
42.0,2.0,1.0,2.0,11.0,20.0,85.0
42.0,2.0,1.0,2.0,7.0,7.2,55.0
42.0,2.0,1.0,2.0,1.0,1.5,5.0
42.0,2.0,1.0,2.0,5.0,4.3,10.0
42.0,2.0,1.0,2.0,1.0,1.5,3.0
42.0,2.0,1.0,2.0,4.0,3.3,15.0
42.0,2.0,1.0,2.0,10.0,15.5,80.0
42.0,2.0,1.0,2.0,6.0,5.6,30.0
42.0,2.0,1.0,2.0,12.0,26.0,90.0
42.0,2.0,1.0,2.0,1.0,1.5,3.0
42.0,2.0,1.0,2.0,6.0,5.6,10.0
42.0,2.0,1.0,2.0,8.0,9.4,30.0
42.0,2.0,1.0,2.0,5.0,4.3,15.0
42.0,2.0,1.0,2.0,6.0,5.6,18.0
42.0,2.0,1.0,2.0,11.0,20.0,85.0
42.0,2.0,1.0,2.0,8.0,9.4,70.0
42.0,2.0,1.0,2.0,2.0,2.0,6.0
42.0,2.0,1.0,2.0,4.0,3.3,10.0
42.0,2.0,1.0,2.0,9.0,12.0,55.0
42.0,2.0,1.0,2.0,12.0,26.0,95.0
42.0,2.0,1.0,2.0,9.0,12.0,70.0
42.0,2.0,1.0,2.0,10.0,15.5,75.0
42.0,2.0,1.0,2.0,3.0,2.5,5.0
42.0,2.0,1.0,2.0,5.0,4.3,15.0
42.0,2.0,1.0,2.0,9.0,12.0,20.0
42.0,2.0,1.0,2.0,3.0,2.5,10.0
42.0,2.0,1.0,2.0,12.0,26.0,90.0
42.0,2.0,1.0,2.0,3.0,2.5,15.0
42.0,2.0,1.0,2.0,4.0,3.3,25.0
42.0,2.0,1.0,2.0,7.0,7.2,70.0
42.0,2.0,1.0,2.0,7.0,7.2,66.0
