nsub,bloque,altura,condicion,itrial,distancia,respuesta
68.0,3.0,1.0,3.0,8.0,9.4,2.0
68.0,3.0,1.0,3.0,9.0,12.0,3.0
68.0,3.0,1.0,3.0,5.0,4.3,1.5
68.0,3.0,1.0,3.0,1.0,1.5,0.5
68.0,3.0,1.0,3.0,2.0,2.0,0.5
68.0,3.0,1.0,3.0,3.0,2.5,1.0
68.0,3.0,1.0,3.0,7.0,7.2,4.0
68.0,3.0,1.0,3.0,7.0,7.2,5.0
68.0,3.0,1.0,3.0,3.0,2.5,3.0
68.0,3.0,1.0,3.0,12.0,26.0,7.0
68.0,3.0,1.0,3.0,11.0,20.0,8.0
68.0,3.0,1.0,3.0,4.0,3.3,7.0
68.0,3.0,1.0,3.0,6.0,5.6,8.0
68.0,3.0,1.0,3.0,10.0,15.5,10.0
68.0,3.0,1.0,3.0,6.0,5.6,10.0
68.0,3.0,1.0,3.0,8.0,9.4,10.0
68.0,3.0,1.0,3.0,9.0,12.0,5.0
68.0,3.0,1.0,3.0,1.0,1.5,4.0
68.0,3.0,1.0,3.0,2.0,2.0,2.0
68.0,3.0,1.0,3.0,12.0,26.0,11.0
68.0,3.0,1.0,3.0,8.0,9.4,12.0
68.0,3.0,1.0,3.0,3.0,2.5,5.0
68.0,3.0,1.0,3.0,6.0,5.6,7.0
68.0,3.0,1.0,3.0,5.0,4.3,3.0
68.0,3.0,1.0,3.0,2.0,2.0,8.0
68.0,3.0,1.0,3.0,4.0,3.3,2.0
68.0,3.0,1.0,3.0,9.0,12.0,9.0
68.0,3.0,1.0,3.0,12.0,26.0,12.0
68.0,3.0,1.0,3.0,5.0,4.3,4.0
68.0,3.0,1.0,3.0,11.0,20.0,12.0
68.0,3.0,1.0,3.0,1.0,1.5,1.0
68.0,3.0,1.0,3.0,10.0,15.5,15.0
68.0,3.0,1.0,3.0,7.0,7.2,20.0
68.0,3.0,1.0,3.0,8.0,9.4,17.0
68.0,3.0,1.0,3.0,11.0,20.0,20.0
68.0,3.0,1.0,3.0,10.0,15.5,15.0
