,wide,low,wide-low,low-wide
1.5,-0.2808361517584572,-2.220968898775155,-1.9201828244897001,-0.44417941045762177
2.0,-3.0616149186716655,-4.618279251491117,-4.698777201104257,-2.810925515964229
2.5,-4.820515762709697,-6.210893466054685,-6.458087443198281,-4.4982419341525315
3.3,-6.826904509890305,-7.758092154964373,-8.466011665002299,-5.938657707533224
4.3,-8.533406848773893,-9.919660701297346,-10.173380949955856,-7.899092977846848
5.6,-9.92217491819931,-11.3804626655309,-11.56524399718613,-9.456666911335077
7.2,-12.183171599360584,-12.914873454902136,-13.822888270655852,-11.226032151051797
9.4,-13.295994471120054,-14.344354768338732,-14.932830840919394,-12.386368140688916
12.0,-15.071231028440323,-16.08819962479589,-16.714155329211522,-13.800648447387132
15.5,-16.640066204288246,-17.841414846413613,-18.27553309565137,-15.262232660775823
20.0,-19.855729653695334,-20.92029575775092,-21.498917556345432,-18.611382384480137
26.0,-22.937994774589356,-21.78746694818254,-24.526721977961785,-19.323636925681754
