,wide,low,wide-low,low-wide
1.5,-12.193592803028189,-3.977744864679252,-4.486034721545387,-10.205313288387202
2.0,-12.828772324558287,-4.365301877728285,-4.888515628600487,-9.697947456936618
2.5,-13.114928710525902,-4.674192738002347,-5.18899488645922,-10.100623539710554
3.3,-13.261189620044078,-4.692937100652486,-5.2038217917869005,-10.372603538082501
4.3,-13.696399454011328,-4.812324576281256,-5.319404896723455,-10.753536876001235
5.6,-13.782446123565691,-5.226011560686402,-5.7429257255282735,-11.077718442866242
7.2,-14.319054901715958,-4.987985890466305,-5.500709353746075,-11.241947001144553
9.4,-14.447527037255952,-5.264631830462605,-5.779098500980325,-11.434563768501135
12.0,-14.473989692047937,-5.510532213046432,-6.024856662882115,-11.489634225771937
15.5,-15.190885753279957,-5.73136575175721,-6.24293126958797,-11.905656828515575
20.0,-15.311011116511224,-5.270567585753199,-5.786563759867306,-12.087100986528284
26.0,-15.614836550877811,-6.004708124698226,-6.520570075962382,-12.230500524775294
