,wide,low,wide-low,low-wide
1.5,0.0,0.0,0.0,0.0
2.0,-2.613329426544013,-1.4768730817087175,-1.7765926123206413,-1.998904074516453
2.5,-4.1941654711747915,-2.363690215515362,-2.7506173503743554,-3.44151308355967
3.3,-5.886876412208096,-2.949395436402142,-3.501186861688403,-4.601394389376836
4.3,-7.3479569878308695,-3.6417915344189424,-4.085148224464838,-6.084491752672918
5.6,-8.37546463742887,-4.280653508543935,-4.72894922594201,-7.180024224938421
7.2,-10.080989097563751,-4.338037353099921,-4.899568026995411,-8.210983628188231
9.4,-10.796370967119799,-4.758013953383667,-5.278997127594593,-8.872269509853865
12.0,-11.746968062426163,-5.143179491323522,-5.668663014764704,-9.477896963083765
15.5,-12.840606581621259,-5.470969472238622,-5.977596640526471,-10.243769042219114
20.0,-13.999949397847118,-5.15365009701496,-5.671463917397801,-11.204912690541349
26.0,-14.873128712201549,-5.890383580112882,-6.451809450147707,-11.451975654160492
