,wide,low,wide-low,low-wide
1.5,6769.089328856532,2379.995108126809,6769.642480755067,2304.603853813852
2.0,6798.655182120299,2334.102840334,6797.540189761906,2286.751502449177
2.5,6833.463295044213,2324.581866395421,6831.5946180943,2262.86975539456
3.3,6793.539073973561,2247.0867828397686,6793.410230597598,2198.4920283132315
4.3,6780.589040605419,2297.69175698501,6783.705872781551,2410.634927529028
5.6,6816.332603339656,2299.0714073308873,6827.223828147688,2404.4449518946394
7.2,6715.129637882316,2201.8321728846163,6717.791477888291,2473.195004840223
9.4,6519.610882716506,2240.0661865719453,6515.382843152637,2480.941666776794
12.0,6714.351577126809,2227.3906458443726,6720.299142026685,2584.301060439393
15.5,6459.678434385935,2282.234645429236,6443.93374710253,2898.459294477693
20.0,6132.932051018923,2251.573412456154,6132.922117020844,2851.5206709986837
26.0,6150.14879867953,2023.792553072341,6109.400815848478,2665.6744062347348
