,wide,low,wide-low,low-wide
1.5,5193.267207572255,1309.23170009203,1317.2467773384692,5091.627461508163
2.0,5051.796474108937,1279.6260149329062,1280.4306301186286,5036.348650578252
2.5,4978.877441901807,1279.4729073995547,1278.9707669400757,4934.765105917863
3.3,5025.388352805863,1281.9852438930152,1283.1078682858374,4915.922937394054
4.3,4874.103501576941,1243.9845622705193,1247.1571107074615,4829.421721025067
5.6,5105.701217974316,1279.927866819686,1287.230884992266,4817.384305824195
7.2,4972.415604472644,1216.4195409353733,1228.5704695034246,4775.367316425901
9.4,4810.962832975234,1216.93261505937,1218.762598522172,4627.746467820013
12.0,4890.317013427477,1251.5898860535278,1264.1752422096954,4624.650907278678
15.5,4833.882473918348,1203.632072306898,1207.954237449823,4540.099290144985
20.0,4706.305654016441,1134.027339315564,1134.5160255223686,4444.588145969527
26.0,4345.823491948374,1150.8266607630965,1151.9706073038474,4349.178744772844
