,wide,low,wide-low,low-wide
1.5,6704.8126326000065,2218.330113141842,6008.3863923728695,3002.786525626624
2.0,6679.9603474021305,2085.3444314805565,5757.42914345947,3309.5573875717437
2.5,6662.3201224206,2003.0938387163446,5581.142813602367,3429.146701950227
3.3,6557.004089479271,1877.5680864275741,5284.570419873878,3556.4551134713047
4.3,6433.5705643930405,1789.6682822876562,4943.695442642057,3740.8232565895883
5.6,6423.230712610794,1751.8656421402295,4795.8113533737705,3885.5714668466703
7.2,6182.577207963693,1581.5154745329955,4306.535515881572,4046.2748757932736
9.4,5902.116834449713,1549.2654508690819,3983.2119128985605,4032.434479001573
12.0,5920.186504777606,1498.8265327164709,3834.7810713398317,4165.979920601673
15.5,5670.1879980462445,1427.981322316542,3446.176126197163,4288.8396210181
20.0,5176.333034070337,1262.8674575989296,2622.6587007013813,4327.110953137392
26.0,4777.065145986059,1220.2937171713643,2296.5109681295235,4241.441500178411
