nsub,condicion,orden_bloque
1,WW,1
1,LL,2
1,LW,3
1,WL,4
2,WW,1
2,LL,2
2,WL,3
2,LW,4
3,WW,1
3,LW,2
3,LL,3
3,WL,4
4,WW,1
4,LW,2
4,WL,3
4,LL,4
5,WW,1
5,WL,2
5,LL,3
5,LW,4
6,WW,1
6,WL,2
6,LW,3
6,LL,4
7,LL,1
7,WW,2
7,LW,3
7,WL,4
8,LL,1
8,WW,2
8,WL,3
8,LW,4
9,LL,1
9,LW,2
9,WW,3
9,WL,4
10,LL,1
10,LW,2
10,WL,3
10,WW,4
11,LL,1
11,WL,2
11,WW,3
11,LW,4
12,LL,1
12,WL,2
12,LW,3
12,WW,4
13,LW,1
13,WW,2
13,LL,3
13,WL,4
14,LW,1
14,WW,2
14,WL,3
14,LL,4
15,LW,1
15,LL,2
15,WW,3
15,WL,4
16,LW,1
16,LL,2
16,WL,3
16,WW,4
17,LW,1
17,WL,2
17,WW,3
17,LL,4
18,LW,1
18,WL,2
18,LL,3
18,WW,4
19,WL,1
19,WW,2
19,LL,3
19,LW,4
20,WL,1
20,WW,2
20,LW,3
20,LL,4
21,WL,1
21,LL,2
21,WW,3
21,LW,4
22,WL,1
22,LL,2
22,LW,3
22,WW,4
23,WL,1
23,LW,2
23,WW,3
23,LL,4
24,WL,1
24,LW,2
24,LL,3
24,WW,4
25,WW,1
25,LL,2
25,LW,3
25,WL,4
26,WW,1
26,LL,2
26,WL,3
26,LW,4
27,WW,1
27,LW,2
27,LL,3
27,WL,4
28,WW,1
28,LW,2
28,WL,3
28,LL,4
29,WW,1
29,WL,2
29,LL,3
29,LW,4
30,WW,1
30,WL,2
30,LW,3
30,LL,4
31,LL,1
31,WW,2
31,LW,3
31,WL,4
32,LL,1
32,WW,2
32,WL,3
32,LW,4
33,LL,1
33,LW,2
33,WW,3
33,WL,4
34,LL,1
34,LW,2
34,WL,3
34,WW,4
35,LL,1
35,WL,2
35,WW,3
35,LW,4
36,LL,1
36,WL,2
36,LW,3
36,WW,4
37,LW,1
37,WW,2
37,LL,3
37,WL,4
38,LW,1
38,WW,2
38,WL,3
38,LL,4
39,LW,1
39,LL,2
39,WW,3
39,WL,4
40,LW,1
40,LL,2
40,WL,3
40,WW,4
41,LW,1
41,WL,2
41,WW,3
41,LL,4
42,LW,1
42,WL,2
42,LL,3
42,WW,4
43,WL,1
43,WW,2
43,LL,3
43,LW,4
44,WL,1
44,WW,2
44,LW,3
44,LL,4
45,WL,1
45,LL,2
45,WW,3
45,LW,4
46,WL,1
46,LL,2
46,LW,3
46,WW,4
47,WL,1
47,LW,2
47,WW,3
47,LL,4
48,WL,1
48,LW,2
48,LL,3
48,WW,4
49,WW,1
49,LL,2
49,LW,3
49,WL,4
50,WW,1
50,LL,2
50,WL,3
50,LW,4
51,WW,1
51,LL,2
51,WL,3
51,LW,4
52,WW,1
52,LW,2
52,LL,3
52,WL,4
53,WW,1
53,WL,2
53,LL,3
53,LW,4
54,WW,1
54,WL,2
54,LW,3
54,LL,4
55,LL,1
55,WW,2
55,LW,3
55,WL,4
56,LL,1
56,WW,2
56,WL,3
56,LW,4
57,LL,1
57,LW,2
57,WW,3
57,WL,4
58,LL,1
58,LW,2
58,WL,3
58,WW,4
59,LL,1
59,WL,2
59,WW,3
59,LW,4
60,LL,1
60,WL,2
60,LW,3
60,WW,4
61,LW,1
61,WW,2
61,LL,3
61,WL,4
62,LW,1
62,WW,2
62,WL,3
62,LL,4
63,LW,1
63,LL,2
63,WW,3
63,WL,4
64,LW,1
64,LL,2
64,WL,3
64,WW,4
65,LW,1
65,WL,2
65,WW,3
65,LL,4
66,LW,1
66,WL,2
66,LL,3
66,WW,4
67,WL,1
67,WW,2
67,LL,3
67,LW,4
68,WL,1
68,WW,2
68,LW,3
68,LL,4
69,WL,1
69,LL,2
69,WW,3
69,LW,4
