"condicion","log_distancia","prom_resp","sd_log","std_log","distancia"
"WW",0.405465108108164,0.461854536222764,1.25200130794849,0.0876576248348646,1.5
"WW",0.693147180559945,0.362051111694118,1.26852394902176,0.0888144410963864,2
"WW",0.916290731874155,0.695964028280834,1.13461037888099,0.0818834509590355,2.5
"WW",1.19392246847243,0.843198853556173,1.18518627228728,0.0831837689032948,3.3
"WW",1.45861502269952,1.25630480046972,1.12594788402011,0.0851136597239034,4.3
"WW",1.7227665977411,1.45910891002848,1.00207079028592,0.0748982874081363,5.6
"WW",1.97408102602201,1.7565571708736,1.03812331966525,0.0767402839770524,7.2
"WW",2.24070968927596,1.89392158028622,0.989188088616131,0.0727265546751605,9.4
"WW",2.484906649788,2.08620225707038,0.995445011012471,0.0735854126206028,12
"WW",2.7408400239252,2.1721206124842,0.941400064436836,0.069026801765289,15.5
"WW",2.99573227355399,2.47741583038218,0.914464492501507,0.0687353603538381,20
"WW",3.25809653802148,2.58779917929072,0.883352679647759,0.0662100825955405,26
"LL",0.405465108108164,0.666244784835435,0.977569797215192,0.0700052272197511,1.5
"LL",0.693147180559945,2.04012149266743,1.02376324957553,0.0711564647061362,2
"LL",0.916290731874155,2.18793386653117,0.891409885814298,0.0625647087496094,2.5
"LL",1.19392246847243,2.31420943473747,0.854196085063771,0.0601010268169097,3.3
"LL",1.45861502269952,2.39892160634405,0.966314059686861,0.0730464768661902,4.3
"LL",1.7227665977411,2.56108283775682,0.910619568984922,0.0686405326608669,5.6
"LL",1.97408102602201,2.6198513831282,0.892741282261355,0.0669137881129684,7.2
"LL",2.24070968927596,2.59795682841208,0.815064110272063,0.061613055381543,9.4
"LL",2.484906649788,2.76595626532926,0.823855314503702,0.0619247574795729,12
"LL",2.7408400239252,2.85627937617487,0.835522960461492,0.0624499181448908,15.5
"LL",2.99573227355399,2.97052540687654,0.837331649648564,0.0632963231386733,20
"LL",3.25809653802148,3.03612986524776,0.806280707112906,0.0614783275607399,26
"LW",0.405465108108164,0.419111462250599,1.15639903182049,0.0815660987277708,1.5
"LW",0.693147180559945,0.913926509401895,1.13618305202134,0.0787801202380021,2
"LW",0.916290731874155,1.17065884649333,1.1154040082393,0.0777138796813519,2.5
"LW",1.19392246847243,1.25465753796054,1.12757804515495,0.0793361144062802,3.3
"LW",1.45861502269952,1.49973293413315,1.14462373700995,0.0855531949038101,4.3
"LW",1.7227665977411,1.80085273290561,1.06004173766588,0.0790108461469304,5.6
"LW",1.97408102602201,1.95160827409497,1.1539492677172,0.0857723735760402,7.2
"LW",2.24070968927596,2.02477941772541,1.05051923082254,0.0774453051854068,9.4
"LW",2.484906649788,2.12339718208217,1.04072549867263,0.076932642584361,12
"LW",2.7408400239252,2.30480285555738,1.08323831676887,0.0800752805268576,15.5
"LW",2.99573227355399,2.47860374741733,0.96896698643428,0.0732470192781943,20
"LW",3.25809653802148,2.54022531055944,0.986440777793741,0.0743557713147315,26
"WL",0.405465108108164,0.749084461668779,1.25960022187121,0.0875482674032123,1.5
"WL",0.693147180559945,1.05465053644672,1.27940082436245,0.0887104860405712,2
"WL",0.916290731874155,1.22418756199254,1.1991852376683,0.0833491357261002,2.5
"WL",1.19392246847243,1.38671965349868,1.13906585860678,0.0795558104527758,3.3
"WL",1.45861502269952,1.6143069045605,1.10226985960571,0.0833237693199657,4.3
"WL",1.7227665977411,1.73931212427005,1.11444972552497,0.0830661781259936,5.6
"WL",1.97408102602201,1.84563446164778,0.964610503266353,0.0723006139736378,7.2
"WL",2.24070968927596,2.08917142807134,1.05776286108762,0.0786228942764081,9.4
"WL",2.484906649788,2.1450146625598,1.0859234401952,0.0802737705620457,12
"WL",2.7408400239252,2.33954703991382,0.986619990963671,0.0747954684905394,15.5
"WL",2.99573227355399,2.42614120703511,0.922982878850985,0.0695724522061539,20
"WL",3.25809653802148,2.55251397393497,0.905485645819369,0.0686446896584444,26
